t_s,Q_out_m3s,Q_in_m3s,level_mRL,breach_bottom_mRL,breach_bottom_width_m,breach_top_width_m
0,0.000,0.000,222.800,224.300,0.00,0.00
30,0.000,0.001,222.800,224.300,0.00,0.00
60,0.000,0.003,222.800,224.300,0.00,0.00
90,0.000,0.010,222.800,224.300,0.00,0.00
120,0.000,0.020,222.800,224.300,0.00,0.00
150,0.000,0.034,222.800,224.300,0.00,0.00
180,0.000,0.054,222.800,224.300,0.00,0.00
210,0.000,0.080,222.800,224.300,0.00,0.00
240,0.000,0.112,222.800,224.300,0.00,0.00
270,0.000,0.150,222.800,224.300,0.00,0.00
300,0.000,0.195,222.800,224.300,0.00,0.00
330,0.000,0.247,222.800,224.300,0.00,0.00
360,0.000,0.307,222.800,224.300,0.00,0.00
390,0.000,0.375,222.800,224.300,0.00,0.00
420,0.000,0.452,222.800,224.300,0.00,0.00
450,0.000,0.536,222.800,224.300,0.00,0.00
480,0.000,0.630,222.800,224.300,0.00,0.00
510,0.000,0.733,222.800,224.300,0.00,0.00
540,0.000,0.846,222.800,224.300,0.00,0.00
570,0.000,0.968,222.800,224.300,0.00,0.00
600,0.000,1.100,222.800,224.300,0.00,0.00
630,0.000,1.242,222.800,224.300,0.00,0.00
660,0.000,1.395,222.800,224.300,0.00,0.00
690,0.000,1.558,222.800,224.300,0.00,0.00
720,0.000,1.732,222.800,224.300,0.00,0.00
750,0.000,1.918,222.801,224.300,0.00,0.00
780,0.000,2.114,222.801,224.300,0.00,0.00
810,0.000,2.322,222.801,224.300,0.00,0.00
840,0.000,2.542,222.801,224.300,0.00,0.00
870,0.000,2.774,222.801,224.300,0.00,0.00
900,0.000,3.017,222.801,224.300,0.00,0.00
930,0.000,3.273,222.801,224.300,0.00,0.00
960,0.000,3.541,222.801,224.300,0.00,0.00
990,0.000,3.822,222.802,224.300,0.00,0.00
1020,0.000,4.116,222.802,224.300,0.00,0.00
1050,0.000,4.422,222.802,224.300,0.00,0.00
1080,0.000,4.741,222.802,224.300,0.00,0.00
1110,0.000,5.073,222.802,224.300,0.00,0.00
1140,0.000,5.419,222.802,224.300,0.00,0.00
1170,0.000,5.777,222.803,224.300,0.00,0.00
1200,0.000,6.150,222.803,224.300,0.00,0.00
1230,0.000,6.535,222.803,224.300,0.00,0.00
1260,0.000,6.935,222.803,224.300,0.00,0.00
1290,0.000,7.348,222.804,224.300,0.00,0.00
1320,0.000,7.775,222.804,224.300,0.00,0.00
1350,0.000,8.216,222.804,224.300,0.00,0.00
1380,0.000,8.671,222.805,224.300,0.00,0.00
1410,0.000,9.140,222.805,224.300,0.00,0.00
1440,0.000,9.623,222.806,224.300,0.00,0.00
1470,0.000,10.120,222.806,224.300,0.00,0.00
1500,0.000,10.632,222.806,224.300,0.00,0.00
1530,0.000,11.157,222.807,224.300,0.00,0.00
1560,0.000,11.698,222.807,224.300,0.00,0.00
1590,0.000,12.252,222.808,224.300,0.00,0.00
1620,0.000,12.821,222.808,224.300,0.00,0.00
1650,0.000,13.404,222.809,224.300,0.00,0.00
1680,0.000,14.002,222.809,224.300,0.00,0.00
1710,0.000,14.614,222.810,224.300,0.00,0.00
1740,0.000,15.241,222.811,224.300,0.00,0.00
1770,0.000,15.882,222.811,224.300,0.00,0.00
1800,0.000,16.538,222.812,224.300,0.00,0.00
1830,0.000,17.208,222.813,224.300,0.00,0.00
1860,0.000,17.893,222.813,224.300,0.00,0.00
1890,0.000,18.592,222.814,224.300,0.00,0.00
1920,0.000,19.305,222.815,224.300,0.00,0.00
1950,0.000,20.033,222.816,224.300,0.00,0.00
1980,0.000,20.775,222.817,224.300,0.00,0.00
2010,0.000,21.531,222.818,224.300,0.00,0.00
2040,0.000,22.301,222.818,224.300,0.00,0.00
2070,0.000,23.086,222.819,224.300,0.00,0.00
2100,0.000,23.885,222.820,224.300,0.00,0.00
2130,0.000,24.697,222.821,224.300,0.00,0.00
2160,0.000,25.524,222.822,224.300,0.00,0.00
2190,0.000,26.365,222.823,224.300,0.00,0.00
2220,0.000,27.219,222.825,224.300,0.00,0.00
2250,0.000,28.087,222.826,224.300,0.00,0.00
2280,0.000,28.969,222.827,224.300,0.00,0.00
2310,0.000,29.864,222.828,224.300,0.00,0.00
2340,0.000,30.773,222.829,224.300,0.00,0.00
2370,0.000,31.695,222.831,224.300,0.00,0.00
2400,0.000,32.630,222.832,224.300,0.00,0.00
2430,0.000,33.578,222.833,224.300,0.00,0.00
2460,0.000,34.539,222.835,224.300,0.00,0.00
2490,0.000,35.513,222.836,224.300,0.00,0.00
2520,0.000,36.499,222.838,224.300,0.00,0.00
2550,0.000,37.498,222.839,224.300,0.00,0.00
2580,0.000,38.510,222.841,224.300,0.00,0.00
2610,0.000,39.533,222.843,224.300,0.00,0.00
2640,0.000,40.569,222.844,224.300,0.00,0.00
2670,0.000,41.617,222.846,224.300,0.00,0.00
2700,0.000,42.676,222.848,224.300,0.00,0.00
2730,0.000,43.747,222.849,224.300,0.00,0.00
2760,0.000,44.830,222.851,224.300,0.00,0.00
2790,0.000,45.923,222.853,224.300,0.00,0.00
2820,0.000,47.028,222.855,224.300,0.00,0.00
2850,0.000,48.144,222.857,224.300,0.00,0.00
2880,0.000,49.270,222.859,224.300,0.00,0.00
2910,0.000,50.406,222.861,224.300,0.00,0.00
2940,0.000,51.553,222.863,224.300,0.00,0.00
2970,0.000,52.711,222.865,224.300,0.00,0.00
3000,0.000,53.878,222.868,224.300,0.00,0.00
3030,0.000,55.054,222.870,224.300,0.00,0.00
3060,0.000,56.240,222.872,224.300,0.00,0.00
3090,0.000,57.436,222.875,224.300,0.00,0.00
3120,0.000,58.640,222.877,224.300,0.00,0.00
3150,0.000,59.853,222.879,224.300,0.00,0.00
3180,0.000,61.075,222.882,224.300,0.00,0.00
3210,0.000,62.305,222.885,224.300,0.00,0.00
3240,0.000,63.543,222.887,224.300,0.00,0.00
3270,0.000,64.789,222.890,224.300,0.00,0.00
3300,0.000,66.043,222.893,224.300,0.00,0.00
3330,0.000,67.304,222.895,224.300,0.00,0.00
3360,0.000,68.573,222.898,224.300,0.00,0.00
3390,0.000,69.848,222.901,224.300,0.00,0.00
3420,0.000,71.130,222.904,224.300,0.00,0.00
3450,0.000,72.418,222.907,224.300,0.00,0.00
3480,0.000,73.713,222.910,224.300,0.00,0.00
3510,0.000,75.013,222.913,224.300,0.00,0.00
3540,0.000,76.320,222.916,224.300,0.00,0.00
3570,0.000,77.631,222.919,224.300,0.00,0.00
3600,0.000,78.948,222.923,224.300,0.00,0.00
3630,0.000,80.270,222.926,224.300,0.00,0.00
3660,0.000,81.596,222.929,224.300,0.00,0.00
3690,0.000,82.927,222.933,224.300,0.00,0.00
3720,0.000,84.262,222.936,224.300,0.00,0.00
3750,0.000,85.601,222.940,224.300,0.00,0.00
3780,0.000,86.943,222.943,224.300,0.00,0.00
3810,0.000,88.289,222.947,224.300,0.00,0.00
3840,0.000,89.638,222.950,224.300,0.00,0.00
3870,0.000,90.990,222.954,224.300,0.00,0.00
3900,0.000,92.344,222.958,224.300,0.00,0.00
3930,0.000,93.701,222.962,224.300,0.00,0.00
3960,0.000,95.059,222.966,224.300,0.00,0.00
3990,0.000,96.420,222.970,224.300,0.00,0.00
4020,0.000,97.782,222.974,224.300,0.00,0.00
4050,0.000,99.145,222.978,224.300,0.00,0.00
4080,0.000,100.509,222.982,224.300,0.00,0.00
4110,0.000,101.874,222.986,224.300,0.00,0.00
4140,0.000,103.239,222.990,224.300,0.00,0.00
4170,0.000,104.605,222.995,224.300,0.00,0.00
4200,0.000,105.970,222.999,224.300,0.00,0.00
4230,0.000,107.335,223.003,224.300,0.00,0.00
4260,0.000,108.700,223.008,224.300,0.00,0.00
4290,0.000,110.063,223.012,224.300,0.00,0.00
4320,0.000,111.426,223.017,224.300,0.00,0.00
4350,0.000,112.787,223.022,224.300,0.00,0.00
4380,0.000,114.146,223.026,224.300,0.00,0.00
4410,0.000,115.504,223.031,224.300,0.00,0.00
4440,0.000,116.860,223.036,224.300,0.00,0.00
4470,0.000,118.213,223.041,224.300,0.00,0.00
4500,0.000,119.564,223.045,224.300,0.00,0.00
4530,0.000,120.911,223.050,224.300,0.00,0.00
4560,0.000,122.256,223.055,224.300,0.00,0.00
4590,0.000,123.597,223.060,224.300,0.00,0.00
4620,0.000,124.935,223.066,224.300,0.00,0.00
4650,0.000,126.269,223.071,224.300,0.00,0.00
4680,0.000,127.599,223.076,224.300,0.00,0.00
4710,0.000,128.924,223.081,224.300,0.00,0.00
4740,0.000,130.245,223.087,224.300,0.00,0.00
4770,0.000,131.561,223.092,224.300,0.00,0.00
4800,0.000,132.873,223.097,224.300,0.00,0.00
4830,0.000,134.179,223.103,224.300,0.00,0.00
4860,0.000,135.479,223.108,224.300,0.00,0.00
4890,0.000,136.774,223.114,224.300,0.00,0.00
4920,0.000,138.063,223.120,224.300,0.00,0.00
4950,0.000,139.346,223.125,224.300,0.00,0.00
4980,0.000,140.623,223.131,224.300,0.00,0.00
5010,0.000,141.893,223.137,224.300,0.00,0.00
5040,0.000,143.157,223.143,224.300,0.00,0.00
