road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,39.0,,0.57347172498703,,,,
Wolffs Road,415.0,56.0,1.57,0.30035480856895447,1541399.5997000295,5199464.992935364,,3.74
Poyntzs Road,711.0,77.0,0.51,0.9522632360458374,1541100.0408525139,5192974.082862821,,2.68
Pesters Road,291.0,30.0,0.52,1.1560633182525635,1545900.176532224,5198243.277543047,,2.69
Downs Road,446.0,113.0,0.62,1.017432451248169,1549332.4959241026,5198109.830111754,,2.79
Browns Road,470.0,176.0,1.42,0.8951224088668823,1551686.3025964294,5191920.588597631,,3.59
Two Chain Road,548.0,177.0,1.64,0.8772095441818237,1558309.962999199,5197673.69987119,,3.81
Diversion Road,98.0,74.0,3.38,0.44816920161247253,1561307.3629998511,5191048.920883765,,5.55
Wrights Road,447.0,24.0,,0.16403284668922424,,,,
Dixon Road,285.0,8.0,0.94,0.19322285056114197,1535967.60317967,5197190.657931589,,3.12
South Eyre Road,1465.0,529.0,0.68,1.1549208164215088,1560661.9488735516,5193206.796333508,,2.85
Thongcaster Road,382.0,16.0,4.38,0.16921904683113098,1548862.8626517523,5190529.480870531,,6.55
Domain Road,280.0,6.0,,0.14493831992149353,,,,
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
